word frequencyM frequencyNA sum
feare 3 0 3
hayle 3 0 3
get 2 1 3
kings 2 1 3
wee 3 0 3
honor 3 0 3
lives 2 1 3
home 1 2 3
chance 2 1 3
leysure 3 0 3
liege 3 0 3
castle 3 0 3
pleasant 1 2 3
faile 3 0 3
settled 1 2 3
bend 1 2 3
sword 3 0 3
friend 2 1 3
thankes 3 0 3
bid 2 1 3
drinke 3 0 3
ready 1 2 3
hoa 3 0 3
second 2 1 3
amen 3 0 3
wherefore 2 1 3
pronounce 3 0 3
knocking 3 0 3
delight 1 2 3
horror 3 0 3
maiesty 3 0 3
gentle 2 1 3
lady 3 0 3
alas 3 0 3
spoken 1 2 3
sorrow 3 0 3
remember 1 2 3
already 1 2 3
else 2 1 3
mine 3 0 3
pray 3 0 3
comfort 2 1 3
hee 3 0 3
cut 1 2 3
dare 3 0 3
forget 1 2 3
worse 2 1 3
macduffe 3 0 3
black 1 2 3
proud 1 2 3
hart 3 0 3
spirit 1 2 3
word 1 2 3
nay 1 2 3
hang 3 0 3
flye 3 0 3
doth 1 2 3
woman 2 1 3
heart 1 2 3
flesh 1 2 3
cure 1 2 3
learn 1 2 3
title 1 2 3
born 1 2 3
worth 2 1 3
peru 0 3 3
soft 0 3 3
midst 0 3 3
prepared 0 3 3
discern 0 3 3
sailing 0 3 3
port 0 3 3
view 0 3 3
thinking 0 3 3
yellow 0 3 3
cane 0 3 3
aboard 0 3 3
shining 0 3 3
tables 0 3 3
except 0 3 3
want 0 3 3
wants 0 3 3
languages 0 3 3
sign 0 3 3
case 0 3 3
danger 0 3 3
store 0 3 3
merchandise 0 3 3
pistolets 0 3 3
look 0 3 3
hat 0 3 3
form 0 3 3
turban 0 3 3
reverend 0 3 3
gilt 0 3 3
approach 0 3 3
farther 0 3 3
thereupon 0 3 3
asked 0 3 3
christians 0 3 3
entry 0 3 3
attendants 0 3 3
declare 0 3 3
warned 0 3 3
holding 0 3 3
jesus 0 3 3
twice 0 3 3
learned 0 3 3
turned 0 3 3
standing 0 3 3
wonder 0 3 3
spacious 0 3 3
withal 0 3 3
surely 0 3 3
served 0 3 3
bread 0 3 3
wonderful 0 3 3
dear 0 3 3
buried 0 3 3
knoweth 0 3 3
miracle 0 3 3
regard 0 3 3
vices 0 3 3
eye 0 3 3
fast 0 3 3
clothed 0 3 3
coming 0 3 3
offer 0 3 3
able 0 3 3
free 0 3 3
ground 0 3 3
feet 0 3 3
saying 0 3 3
sat 0 3 3
secrecy 0 3 3
appeared 0 3 3
sharp 0 3 3
nearer 0 3 3
generations 0 3 3
impostures 0 3 3
whereas 0 3 3
remained 0 3 3
highest 0 3 3
christ 0 3 3
glory 0 3 3
ordain 0 3 3
wrought 0 3 3
saved 0 3 3
held 0 3 3
agreeable 0 3 3
pause 0 3 3
desirous 0 3 3
pardon 0 3 3
foreign 0 3 3
possible 0 3 3
truly 0 3 3
thereof 0 3 3
vessels 0 3 3
inhabitants 0 3 3
coya 0 3 3
of 0 3 3
saith 0 3 3
subject 0 3 3
higher 0 3 3
account 0 3 3
human 0 3 3
naked 0 3 3
greatly 0 3 3
sail 0 3 3
draw 0 3 3
lawgiver 0 3 3
miles 0 3 3
estate 0 3 3
curious 0 3 3
points 0 3 3
policy 0 3 3
admirable 0 3 3
remain 0 3 3
vulgar 0 3 3
names 0 3 3
seeing 0 3 3
middle 0 3 3
placed 0 3 3
round 0 3 3
generation 0 3 3
linage 0 3 3
kept 0 3 3
cluster 0 3 3
satin 0 3 3
enamelled 0 3 3
invention 0 3 3
private 0 3 3
virtue 0 3 3
music 0 3 3
contrariwise 0 3 3
throne 0 3 3
ordained 0 3 3
chaste 0 3 3
houses 0 3 3
cloth 0 3 3
shoes 0 3 3
richly 0 3 3
preparations 0 3 3
region 0 3 3
imitation 0 3 3
meteors 0 3 3
salt 0 3 3
engines 0 3 3
herbs 0 3 3
medicines 0 3 3
worms 0 3 3
fishes 0 3 3
special 0 3 3
breads 0 3 3
meats 0 3 3
grains 0 3 3
roots 0 3 3
living 0 3 3
moist 0 3 3
afar 0 3 3
glasses 0 3 3
smells 0 3 3
sunn 2 0 2
anon 2 0 2
valiant 2 0 2
yes 2 0 2
haste 1 1 2
beene 2 0 2
sister 2 0 2
kinde 2 0 2
pilots 1 1 2
drumme 2 0 2
